country,region,co2_emissions_mt,renewable_energy_pct,recovery_index,rank
Argentina,South America,178.41,3.974490832726872,,1
Australia,Oceania,384.32,5.9954746460192325,,2
Austria,Europe,56.91,4.836305189699047,,3
Bangladesh,Asia,104.53,1.3845058435738054,,4
Belgium,Europe,84.7,4.638845822000405,,5
Brazil,South America,483.99,10.263896795146962,,6
Canada,North America,545.48,4.881580979107355,,7
Chile,South America,77.6,1.1037909934780004,,8
China,Asia,12172.01,7.169243345929203,,9
Colombia,South America,89.99,6.157049109336498,,10
Czech Republic,Europe,83.23,3.390911035850948,,11
Denmark,Europe,28.83,5.317184902146394,,12
Egypt,Africa,250.23,12.874691232791877,,13
Ethiopia,Africa,17.57,16.76059670300552,,14
Finland,Europe,31.8,3.228897162723669,,15
France,Europe,270.26,4.193847492882483,,16
Germany,Europe,593.77,3.331453244166326,,17
Ghana,Africa,20.14,4.942256134601905,,18
India,Asia,3062.76,5.880523592970931,,19
Indonesia,Asia,762.36,4.518732527673507,,20
Ireland,Europe,33.57,7.233403826795524,,21
Italy,Europe,312.29,3.684682805082303,,22
Japan,Asia,986.91,3.324292979093528,,23
Kenya,Africa,21.19,16.70842778971175,,24
Malaysia,Asia,276.3,5.7703697011119885,,25
Mexico,North America,458.25,6.355590267275133,,26
Morocco,Africa,68.96,6.3514058615565006,,27
Netherlands,Europe,117.02,1.7270514998756994,,28
New Zealand,Oceania,31.56,5.2687680643174275,,29
Nigeria,Africa,129.38,16.852233711476828,,30
Norway,Europe,38.87,6.366179144247269,,31
Pakistan,Asia,186.86,8.767874546335719,,32
Philippines,Asia,160.98,6.29990306412806,,33
Poland,Europe,283.24,5.204918545008994,,34
Portugal,Europe,37.62,10.105947801506971,,35
Romania,Europe,67.87,7.591448214148201,,36
Russia,Europe,1733.13,6.255379779979194,,37
Saudi Arabia,Middle East,677.44,5.034407195287045,,38
Singapore,Asia,51.07,0.0,,39
South Korea,Asia,589.18,5.581142327335272,,40
Spain,Europe,215.46,6.270068873935614,,41
Sweden,Europe,36.71,7.802562156692687,,42
Switzerland,Europe,31.98,5.2485688243152,,43
Thailand,Asia,264.73,7.419927772339932,,44
Turkey,Europe,486.94,9.914862247903628,,45
Ukraine,Europe,139.33,5.017092918626872,,46
UAE,Middle East,210.43,3.727849432794656,,47
UK,Europe,307.83,3.0737553568523452,,48
USA,North America,4918.41,4.824729171756644,,49
Vietnam,Asia,347.4,13.168421268894464,,50
